date,td3,sac,ppo,sse,ewtf,our,van
2021-02-26,1139210.3137900005,903031.9721800004,1040109.6046299991,1194712.74694866,924196.5313499998,1212178.0323899998,992658.6191099968
2021-03-01,1148413.3937900004,900164.1321800003,1053157.865709999,1192409.8734009217,923190.92582,1226009.2067299995,991395.2011399966
2021-03-02,1143726.6137900006,904468.3221800004,1057686.1778499992,1177101.3063396306,914591.82214,1225737.24772,988542.5356299966
2021-03-03,1157094.5437900005,920945.3021800003,1061753.595649999,1214388.0471701648,926230.04838,1239100.84762,998175.4464399966
2021-03-04,1119453.2637900002,914783.5521800003,1023057.4199399994,1195876.5882581708,907792.18036,1192894.28666,994644.8008699968
2021-03-05,1123798.7337900002,907844.0021800004,1016495.0728499992,1175645.3723201146,892987.6308699998,1184465.25011,992028.6265599967
2021-03-08,1085214.9237900004,895870.0821800003,980214.6890599992,1165581.877574019,869383.1340999998,1139902.25735,987527.9632099968
2021-03-09,1051716.5537900005,870023.3821800003,952149.3169499992,1146482.3178851325,857975.0935599998,1105894.6410199995,980076.676869997
2021-03-10,1041129.4537900004,852487.0421800003,951786.5037999992,1137411.5462268149,835034.0954799999,1101969.62027,973459.7661899969
2021-03-11,1068841.9137900004,867887.0221800004,981383.0831199992,1176551.6681862248,849047.37984,1139130.52779,981564.7629899968
2021-03-12,1070994.8337900003,859800.8021800005,994128.2249799994,1171865.7005660376,849702.2932999999,1149870.77919,979014.8359999964
2021-03-15,1033063.8837900003,850837.0121800004,956991.1541199991,1158055.008496472,847423.38062,1111830.19268,974459.7701499964
2021-03-16,1036217.5537900002,863477.3121800004,959206.271859999,1164545.5068200056,860658.2140800001,1117750.88478,977687.5181699964
2021-03-17,1030002.11379,852455.8821800003,955332.4475599992,1135260.6097859482,847933.8603399999,1109209.0209,971781.1308799963
2021-03-18,1028317.9537900002,847900.7221800004,955347.8742599993,1123667.6691614145,845809.6547999999,1107811.4200399998,970063.9805199964
2021-03-19,1004564.3337900002,827970.6621800003,928404.2015199992,1098077.416266978,822076.40033,1077015.4251199998,963014.988569996
2021-03-22,1015661.8737900002,827695.8121800004,937922.8689199992,1103074.60456239,826026.1403099999,1088953.2480399995,965290.952129996
2021-03-23,1015453.27379,832134.7621800004,933786.5911999992,1103194.516057844,830394.68294,1083059.2387499996,966776.6807199965
2021-03-24,1006166.3837900003,824198.4821800002,921030.8126099992,1086659.1903232126,804148.13824,1066312.73266,963333.334379996
2021-03-25,1003330.25379,822790.8721800003,921668.3351099992,1088220.035828409,810898.7549999999,1067273.53396,962999.017779996
2021-03-26,1019401.4237900004,831168.4421800004,937744.7644999992,1102462.2439271708,827199.3446399999,1087348.0385499997,967887.101459996
2021-03-29,1016776.7037900004,833088.7721800003,939285.0488999992,1095469.2688982836,826767.51464,1087284.36819,966845.1553599958
2021-03-30,1039088.1937900002,829428.5821800003,962746.135619999,1103575.5458336724,825720.2146399999,1112295.1260499998,969200.977749996
2021-03-31,1033158.1137900004,819409.5321800004,958470.6367099992,1098193.022641517,826735.4646399999,1112727.5360499998,966890.8677499958
2021-04-01,1042986.7237900004,826989.9821800004,966934.818529999,1105862.1969298958,834928.51397,1121700.72108,969699.7021399956
2021-04-02,1039214.0237900004,825298.8421800003,963469.0514499992,1099928.2993627305,837780.8534799999,1114367.20096,968368.5051599956
2021-04-06,1055545.8037900005,825112.6721800003,977732.660079999,1105182.1177466162,833114.19001,1131531.1814599996,970566.4457199957
2021-04-07,1038749.6337900002,809417.1421800004,964601.2721299992,1093769.3366882885,818130.94347,1115712.9993,965539.5222299952
2021-04-08,1034078.4737900002,813303.0821800005,956953.4094299992,1094564.1009856644,836024.3841099998,1109104.7546799998,965942.6668699952
2021-04-09,1009783.74379,800626.5921800003,935189.7570499992,1074425.93235233,815796.5697099998,1085620.9810999995,958577.3359599954
2021-04-12,991945.1937900002,779247.2521800004,916962.678449999,1068785.3204093329,814952.3496199999,1069296.62634,952880.5972499956
2021-04-13,989239.4637900002,768961.4921800003,915170.1707499992,1061299.5832483503,807890.9227399998,1064065.1455,951099.9979899956
2021-04-14,996859.6437900002,775664.7321800004,921743.0865899991,1066006.6689925345,806796.0085999998,1065303.58773,952810.2732999956
2021-04-15,1000766.6037900004,766327.5321800003,931734.005429999,1053110.174369031,794535.1155600001,1071705.60282,949213.6635799952
2021-04-16,1000283.0737900002,774019.4921800004,931841.6323099992,1054413.0905723092,820344.8985199998,1071858.1708999998,951804.8273599952
2021-04-19,1023294.2237900002,782340.4821800004,953848.0884899992,1065892.0134060169,842007.53552,1095484.84261,957580.0549799954
2021-04-20,1028898.5037900002,779432.8021800002,960710.0942799994,1065088.243197261,829019.00293,1102875.5843299998,956231.8860299954
2021-04-21,1025448.2337900002,773028.7621800003,957289.5570599994,1062431.4461905684,836774.62813,1103955.681,955785.6370399952
2021-04-22,1017581.22379,772151.1621800003,951136.4223999992,1048586.8033114802,842634.30499,1094378.36404,955292.1131099951
2021-04-23,1018765.3737900004,763151.7321800004,953298.1580199992,1049461.8944328488,858100.6924599999,1100937.3166099996,955716.4547799954
2021-04-26,1000713.8937900002,744512.2921800003,940715.4340999993,1032327.5663394182,848984.1796799998,1087789.6165099998,948652.5227799952
2021-04-27,1005447.4537900002,747933.9821800003,939236.1318999992,1035655.6196889962,858001.8023199999,1088567.6456799996,951127.1429699956
2021-04-28,1011344.2037900004,745578.0621800004,950966.6620699991,1035544.2180416066,892560.97119,1101031.8507499998,953132.9976199956
2021-04-29,1025866.3237900002,762849.1421800003,954994.2503499988,1051638.1123862504,907463.2245999998,1115423.4038300002,958625.1121599958
2021-04-30,1031339.00379,747063.0821800003,963981.300889999,1041623.4739712008,928311.8881400002,1123522.22156,954086.2132099958
2021-05-06,1023365.3137900004,744941.6721800003,965551.4024999992,1024716.3664982629,890047.2559399998,1125255.24357,948583.5997399956
2021-05-07,1004189.5337900002,739087.9621800004,955740.8321299992,1018512.8230861112,884364.7392199998,1117051.87323,945272.881019996
2021-05-10,1005831.3437900002,752541.4821800004,958060.448289999,1019602.6682844158,915343.33856,1118568.43407,946093.018139996
2021-05-11,1009530.1237900002,752300.3721800003,952042.6033199992,1022339.5677055058,936318.49511,1115873.00176,950098.1623399956
2021-05-12,1009020.57379,749160.3621800004,951928.5908199992,1019754.2215327708,935278.53747,1116721.8091399996,949424.8481199956
2021-05-13,998467.4837900002,742138.1121800004,941260.847789999,1010164.7389065524,949894.54606,1105483.43071,947614.4666399958
2021-05-14,1044081.9437900004,782728.0321800003,970400.3756599992,1042425.0650446784,1008889.3517,1137258.02369,967094.278879996
2021-05-17,1044477.4237900004,783193.1821800004,983728.9403499992,1035524.7770840576,1000246.0524,1146779.6808399998,963879.6126999956
2021-05-18,1048190.8537900002,788391.5721800004,982910.9749099992,1038448.0722958898,977081.4438599998,1145776.93195,963621.6765799955
2021-05-19,1046299.61379,786134.5121800004,982577.1235499992,1026844.082451558,976063.92141,1139906.59323,961218.5546899956
2021-05-20,1048137.3237900002,791010.5021800004,978131.8425099992,1033112.8168510676,977638.66452,1135403.98153,964141.1643999958
2021-05-21,1037482.1937900002,778058.2821800004,970911.541839999,1023545.1196721155,965599.3265,1127681.82606,959271.3899099956
2021-05-24,1039461.7037900004,788214.7721800004,966342.1717099992,1023191.981646744,967403.28195,1123397.67244,961961.802369996
2021-05-25,1077938.5737900003,826576.7721800004,992489.8215799992,1058998.4459222157,1009841.48624,1154726.8419100002,978726.465059996
2021-05-26,1072702.6637900004,834801.8921800004,987422.4285099992,1058666.2960994963,1035694.97536,1149818.2376999997,981920.1395799962
2021-05-27,1071375.9037900004,828795.0721800004,983167.3073599992,1060195.127804306,1023882.68806,1142515.89135,982312.0287799964
2021-05-28,1081075.2637900002,827024.2921800003,988081.9663199992,1064163.7524374055,1028676.8143,1152829.1128099998,983187.3273299964
2021-05-31,1090118.2937900005,823605.0421800003,1002635.3060999992,1056718.4444366242,1022072.59452,1170317.74783,980233.5199799958
2021-06-01,1075122.1337900003,809168.2521800004,991288.0656999992,1044651.2082274604,998540.62506,1155870.42599,973159.649159996
2021-06-02,1068091.0737900003,799915.7321800004,985877.715429999,1039412.7559953192,995164.91154,1150529.4582799997,970690.090659996
2021-06-03,1052727.9137900004,798382.4021800004,969724.796209999,1031793.2943377566,982674.80417,1128135.63699,967924.7155699964
2021-06-04,1054463.0237900005,801487.7121800004,967178.6769999992,1034709.5974190488,989805.26773,1127170.8422299998,970384.288249996
