date,our,ewtf,td3,sac,ppo,sse
2020-10-23,1193240.8158000002,1100625.40999,1062341.72279,1114958.73472,1019495.5748000001,1220268.5006703404
2020-10-26,1160889.4758000004,1092851.4677,1050018.82279,1101567.8247200001,1015806.5527599999,1210056.6821513916
2020-10-27,1160269.8658000005,1096295.71488,1055388.4527899998,1110567.97472,1012788.6003299999,1210155.2886540492
2020-10-28,1218312.0058000002,1107954.1370699997,1062746.61279,1126402.68472,1027535.92995,1242718.347452543
2020-10-29,1226864.3658000005,1121727.6918799998,1074170.30279,1132643.95472,1039527.6742799999,1250723.5307091507
2020-10-30,1206208.7758000002,1078514.8267799998,1047843.8827899997,1085654.64472,1021423.91364,1216834.6701102867
2020-11-02,1182922.5358000002,1058282.42859,1032042.2727899998,1068100.90472,1005962.0395800001,1201579.5506661157
2020-11-03,1202010.9758000004,1075134.8259800002,1052106.0627899999,1087584.93472,1015807.3832400001,1219279.467855839
2020-11-04,1214570.1258000005,1068346.29559,1046908.9227899997,1089008.2647199999,1018315.1274000001,1232066.896617937
2020-11-05,1206126.7958000002,1067588.9670299997,1057948.48279,1094154.3747200002,1016893.8264300001,1233585.9943432563
2020-11-06,1184192.2158,1047483.69902,1031289.9227899997,1075736.3442900002,1003040.0194800001,1213147.4384252955
2020-11-09,1200384.1958000003,1063892.3075,1062093.11279,1095913.5733800002,1014735.6883000003,1227046.6884802743
2020-11-10,1143104.6658000003,1071944.40698,1071264.4127899997,1082287.15916,1014605.6435200003,1200031.894227319
2020-11-11,1137950.3558000005,1076256.70861,1054764.4127900002,1078786.73916,1015227.2499400004,1196612.0332548933
2020-11-12,1181136.1858000003,1081401.86313,1062592.68279,1076630.0991600002,1029139.8003900005,1211884.2699405574
2020-11-13,1159329.1358000005,1059143.37469,1048449.2027899998,1060615.69916,1016015.1495400004,1190854.7844778418
2020-11-16,1139205.7058000003,1068120.6072699996,1052737.24279,1070544.13543,1012542.0113000004,1187876.9440409897
2020-11-17,1117880.3358000002,1056892.0454099998,1029936.3927899998,1070357.46105,996986.8451700003,1180086.081038637
2020-11-18,1104740.8458000002,1062634.4164899995,1030687.53279,1082168.0083300003,990922.9617000003,1184480.20583378
2020-11-19,1138062.2258000004,1070118.03591,1038886.5027899998,1087996.6583300002,1002290.9933100003,1201039.9828383918
2020-11-20,1142095.3358000002,1067058.38161,1039992.1727899997,1084141.91833,1003863.9424600004,1199189.2522989067
2020-11-23,1154389.9458,1080927.2424,1052983.26279,1088360.5983300002,1016814.2475200003,1209458.368110745
