date,8+,3+,sse
2022-06-16,1075212.6977500005,991977.9710100008,1021420.0811906697
2022-06-17,1112113.2299300006,1029678.4810100006,1061408.741241049
2022-06-20,1110059.8444000003,1025638.1610100006,1056636.7927069883
2022-06-21,1110030.3911600003,1026564.7510100008,1058316.4383557187
2022-06-22,1099013.9747300006,1020249.5910100008,1052653.3500986167
2022-06-23,1113535.3047300004,1031493.1210100008,1064163.0184402606
2022-06-24,1139379.7163000004,1058387.0210100007,1092355.1910239265
2022-06-27,1145497.3907300006,1059998.4810100007,1094014.6936900865
2022-06-28,1155972.6180200004,1072440.2910100005,1107720.4620407934
2022-06-29,1162999.1463400004,1071779.0810100003,1104147.9153409943
2022-06-30,1169170.5071200004,1079283.971010001,1113057.7805758894
2022-07-01,1161964.5574500004,1071587.8610100006,1104178.415914658
2022-07-04,1158574.4388700004,1065892.9110100009,1098709.3860810185
2022-07-05,1160202.8388700006,1072218.1010100006,1106629.8852886176
2022-07-06,1142574.6307300006,1056065.8510100008,1089521.9838739294
2022-07-07,1137148.7390300003,1049916.1810100006,1083070.7535931198
2022-07-08,1136786.9190300005,1054089.7410100007,1087482.5922942776
2022-07-11,1115205.7890300003,1035694.0110100008,1068165.8065589296
2022-07-12,1102699.4390300002,1028164.9210100006,1059757.184652268
2022-07-13,1106896.4438200006,1032944.7910100006,1065100.0508359398
2022-07-14,1102426.0342500005,1028937.3910100006,1061793.8135474888
2022-07-15,1096891.5007400005,1026324.1310100008,1059442.3079417641
2022-07-18,1103147.6415200003,1029275.8410100008,1060818.0165727963
2022-07-19,1099746.7615200004,1025580.6710100006,1055672.198891551
2022-07-20,1105838.5415200002,1029762.2310100006,1059252.2199046446
2022-07-21,1098904.4515200004,1023297.6610100004,1053175.3503392944
2022-07-22,1101351.3215200005,1026660.9410100006,1057307.780572353
2022-07-25,1096939.464160001,1024921.5910100008,1055719.5669763046
2022-07-26,1105353.1243800006,1029211.4410100008,1058854.4810508068
2022-07-27,1091864.4531800004,1013667.7110100008,1042437.5676109723
2022-07-28,1079914.8051100003,1002405.4310100006,1031045.6362366761
2022-07-29,1075641.318030001,1002025.7410100008,1030568.4153902715
2022-08-01,1069767.5638400004,997282.3010100008,1026154.7943120612
2022-08-02,1058848.6249800003,990632.6510100008,1020113.7186973036
2022-08-03,1065516.0149800004,993472.8410100008,1022874.0672951733
2022-08-04,1083169.2449800004,1009554.8910100008,1039568.534682221
2022-08-05,1095331.028860001,1015382.2510100008,1044276.3873107032
2022-08-08,1087848.8466700006,1008873.3210100008,1037590.1888093231
2022-08-09,1084881.8275900004,1007912.6810100008,1036664.6778545155
2022-08-10,1066273.8226900003,990082.8010100008,1018413.679684465
2022-08-11,1085821.7714000004,1006691.4210100006,1035326.8917707978
2022-08-12,1094034.1114000003,1017359.5710100008,1046670.9185789933
2022-08-15,1087743.4714000004,1012754.9110100009,1042316.6853139612
2022-08-16,1083154.0614000005,1011232.6210100008,1040965.6940796206
2022-08-17,1086047.9611700005,1012101.7417800009,1041312.7692193893
2022-08-18,1066751.8225200006,999855.5215400006,1028935.1706038268
2022-08-19,1063653.3569500006,999419.5496300006,1028676.7973677629
2022-08-22,1067354.2386900005,1000080.2035500006,1028520.9154096157
2022-08-23,1058566.0446000004,989118.2436500008,1015759.1890767219
2022-08-24,1044808.6079600004,980116.5917000008,1006955.5379537176
2022-08-25,1058360.4275400003,993005.2668600008,1023203.0930381158
2022-08-26,1063530.8671100005,999484.4179500008,1030125.6138715219
2022-08-29,1052626.5031000006,989583.9334900004,1019904.4350958923
2022-08-30,1053379.6332900005,985259.1828200008,1015172.3944791406
2022-08-31,1065808.7789300005,1013378.5549900008,1044161.3539688649
2022-09-01,1061223.8998900005,993727.3369000008,1021251.0587991618
2022-09-02,1059589.7130400003,989771.9546100008,1017889.9242974955
2022-09-05,1056870.3984900005,974015.1062200008,996783.2161135144
2022-09-06,1056674.5953500003,978913.1125300009,1002461.1115387087
2022-09-07,1054606.7413600006,968029.2037200008,988027.0370472586
2022-09-08,1052580.5669800006,968190.0110400008,986604.6142233717
2022-09-09,1060060.1780300008,981547.2256100008,1002790.2536312642
2022-09-13,1068755.4674100007,997772.3137600007,1020866.2877993191
2022-09-14,1066731.128300001,992188.2096200008,1015299.8457550703
2022-09-15,1068058.2441900007,995035.2118800008,1020853.2400212735
2022-09-16,1058813.471450001,983327.6615000006,1009088.5881427816
2022-09-19,1055732.328340001,984041.7498600008,1015506.963273258
2022-09-20,1057787.4734300005,985986.7387400008,1018621.3145871026
2022-09-21,1045159.1437100008,968543.1467900008,1002198.3421262281
2022-09-22,1030722.2761300008,945414.4963200008,986771.0818744374
2022-09-23,1032584.2344700008,944578.4301900008,993428.14416935
2022-09-26,1043038.4087600008,952485.6294400007,1008070.7468738414
2022-09-27,1060321.3342000009,973223.368450001,1022305.6393150957
2022-09-28,1055371.213700001,969257.9023400008,1019240.3740994416
2022-09-29,1054812.740700001,970699.8951800008,1018276.4497363373
2022-09-30,1050715.8296900005,967832.9775900008,1014282.9101741518
2022-10-10,1010753.6745200006,923800.8206000008,967786.7076911392
2022-10-11,1007079.0602600008,920236.1577000008,964724.836418456
2022-10-12,1007856.0853100008,912329.2375400008,954584.0442624765
2022-10-13,1001119.7941300008,886466.9619400009,922992.2548078311
2022-10-14,1015760.6787200008,908694.8437900008,943757.9221178462
2022-10-17,1013572.9962100008,900954.6973100008,933617.3106750961
2022-10-18,1010501.4513300008,899295.5790100007,926954.9479303298
2022-10-19,989630.7575200008,871250.2307400008,895469.4348293141
2022-10-20,990064.6724900008,868769.6704000008,893097.0594979951
2022-10-21,979702.8868100006,858016.0477700008,882506.458676656
2022-10-24,921967.5462100008,789851.005540001,816387.1081346796
2022-10-25,914033.7635400004,778746.9968500008,804722.5063141058
2022-10-26,918983.5247000006,779309.8265300008,796943.2290133978
2022-10-27,896984.1071000008,752948.0032300008,763727.515118978
2022-10-28,872487.1598600007,732667.114930001,741567.008330901
2022-10-31,873458.3040700007,728411.7369100009,736292.7806387679
2022-11-01,921952.7532100008,784233.3098100009,796415.1446427975
2022-11-02,932062.5488900008,793141.3673100009,802072.5388417798
2022-11-03,914528.6839000008,778251.3369200008,784740.9621919206
2022-11-04,930394.6831200008,814685.5054900009,826021.1429102424
2022-11-07,928409.0481900012,812918.0061800008,821192.1158729545
2022-11-08,931057.4932100012,803958.186730001,809460.6805712542
2022-11-09,925596.6587900012,792594.088790001,796122.9196812946
2022-11-10,924484.3018800012,799038.1074500008,803966.2027077898
2022-11-11,933280.4461900012,823926.9931700008,832624.8152322168
2022-11-14,935844.6502300014,828582.4125800009,835551.3740266894
2022-11-15,942338.6674500016,845443.9702100008,865035.1981274063
2022-11-16,944689.2245500012,843969.011070001,863546.1094507105
2022-11-17,950691.3653900012,837087.8077300009,853927.2966702804
2022-11-18,945939.4163600012,836197.794770001,853872.1098207945
