date,ewtf,our,td3,sac,ppo,sse
2021-02-22,1475242.4411400005,1312410.0438800007,970349.7495000003,980072.8831899998,1002317.1108199987,1196834.583997241
2021-02-23,1453434.8718200002,1296869.6311000006,938578.9995000003,951225.5731899999,1002355.4663999988,1172707.0889626953
2021-02-24,1392729.6310800002,1257049.8369000007,949543.2495000003,958493.9431899999,1002274.3617599988,1150224.8114983067
2021-02-25,1383895.1792200005,1252443.9052500008,975361.2495000003,983471.5531899999,1002769.8175799988,1155493.857167085
2021-02-26,1350613.4188700004,1230528.2156800008,952609.9995000003,962635.05319,1002773.2305999987,1133133.6863234916
2021-03-01,1396148.39547,1262216.1637400007,951004.9995000003,959666.0631899999,1003242.0635999987,1159161.7596343732
2021-03-02,1335430.6767500003,1222452.8127000006,953574.4995000003,960863.8431899999,1003112.3139799987,1133294.8090703504
2021-03-03,1369587.0094500005,1246789.2132500007,969873.4995000003,981233.88319,1003948.3850799986,1155923.8077883273
2021-03-04,1304519.2509200005,1200965.272930001,953424.4995000003,964749.8431899999,1003187.4715599987,1109997.8645839507
2021-03-05,1278445.1341900004,1181990.533390001,921341.7495000003,932152.0531899999,1002894.5222199988,1080757.6139116236
2021-03-08,1182195.6538600002,1118493.493910001,917623.9995000003,928453.5331899999,1002456.4544799987,1030221.0986838003
2021-03-09,1192188.5285300002,1122443.9576700006,908595.4995000003,917366.2131899999,1001553.5091199988,1025184.2489031666
2021-03-10,1262941.5454300004,1169051.5219400006,914228.7495000003,925071.8131899999,1001557.0886399987,1063344.4365517243
2021-03-11,1314074.3162100003,1204540.448230001,950029.9995000003,962485.8031899999,1002308.6881399987,1105959.1639375784
2021-03-12,1317985.4475700003,1206240.4650400006,972940.9995000003,980927.3231899999,1001868.6236199986,1113273.8337947824
2021-03-15,1221934.0775700004,1142123.8350400005,965207.7495000003,973842.6431899999,1001894.9414399986,1059576.432429869
2021-03-16,1233762.8257100002,1148384.9400400007,968274.4995000003,978301.7731899999,1001184.1991199986,1057490.9544446294
2021-03-17,1231319.7143600003,1146365.8490400007,951820.2495000003,961467.4431899999,1001119.1205399986,1052211.598982011
2021-03-18,1264732.95626,1166733.2320400006,950047.2495000003,959093.61319,1000884.7422999986,1066593.4392080428
2021-03-19,1194840.5899900002,1120027.7740400007,925203.4995000003,933676.8031899999,1000043.1252799986,1018682.0552367825
2021-03-22,1177434.01154,1111518.1200400006,933919.9995000003,942285.7231899998,1000787.9526199986,1017084.5526812421
2021-03-23,1168153.2432400004,1105538.0210400005,928110.4995000003,936555.6631899999,1000678.6161199986,1010640.5449138436
2021-03-24,1167926.1610500002,1102562.6250400003,911819.7495000003,919575.5431899999,1000063.0401799986,1001143.1306101386
2021-03-25,1226553.3672800004,1136154.6260400005,913426.9995000003,920809.25319,999779.2273799985,1030899.483118486
2021-03-26,1283208.26222,1169777.3300400004,920360.7495000003,928097.4831899998,999992.9360199985,1063619.675829152
2021-03-29,1288145.76422,1173443.542040001,927624.4995000003,935589.6031899998,1000267.4235799987,1068589.4797317183
2021-03-30,1347403.6726400005,1206994.5300400006,926334.4995000003,934799.4331899999,1000443.2897599986,1099551.5626296778
2021-03-31,1319375.96876,1190452.2760400006,921664.9995000003,930565.3431899998,1000455.2150599986,1081005.6611077976
2021-04-01,1357451.2668000003,1213730.160040001,924403.9995000003,932926.29319,1000887.3602999987,1106536.7057012646
