date,ewtf,our,ppo,sse,sac,td3
2020-12-01,1373870.3153600004,1274670.39012,1053484.5504899968,1310200.9049867468,1310216.1570899992,1203355.6916999999
2020-12-02,1369517.4853600005,1269242.32012,1051971.6068699968,1305541.2517189847,1303554.016819999,1200683.8217
2020-12-03,1368336.59857,1261710.3101200005,1048362.4858199968,1296237.8324695807,1296876.3842199994,1200020.6716999998
2020-12-04,1366439.35592,1263466.86012,1050155.0445599968,1297490.2034300806,1299012.7055899987,1209154.4316999998
2020-12-07,1349539.50503,1281572.41012,1062139.3385699966,1283170.0475525812,1308129.381199999,1196910.2817
2020-12-08,1346280.5440100003,1276086.73012,1058159.2851099968,1264826.2486008203,1297969.1891899991,1191110.0217
2020-12-09,1322582.8313700005,1254551.91012,1047699.7037099969,1254840.1802526775,1272213.554549999,1168522.3416999998
2020-12-10,1311582.3113700002,1268878.70012,1054840.6659499968,1254329.7654312255,1278985.2745499993,1154472.7717
2020-12-11,1298077.30967,1252014.20322,1049795.4814799966,1234860.402920774,1269580.0635799991,1156230.4116999998
2020-12-14,1320601.3966099997,1288474.5672400002,1064347.1266999964,1260725.68042163,1293716.315679999,1165910.2116999999
2020-12-15,1317163.2792999998,1295232.00886,1069388.9781999965,1252338.6720270826,1297769.306569999,1163763.4116999998
2020-12-16,1318901.60447,1301865.79186,1075113.4105799966,1258438.987502916,1305070.1963699989,1172458.4116999998
2020-12-17,1335465.4132600003,1327408.1341400002,1087494.7488899967,1282755.8436536293,1329966.679859999,1186811.2616999997
2020-12-18,1316575.75728,1298049.1325500002,1071455.9026499966,1261723.4184735108,1304822.335519999,1176428.6416999998
2020-12-21,1317271.3905600002,1323398.94085,1086932.4178799964,1262585.0504312492,1321678.8455199993,1160374.8916999998
2020-12-22,1287234.5003700005,1311378.1712500004,1093750.8967099965,1236178.9070732028,1315700.145519999,1147112.3616999998
2020-12-23,1303552.0359000002,1342827.65173,1114082.4446199965,1253737.05378894,1349070.466579999,1166058.3816999998
2020-12-24,1291086.6753500002,1349837.72121,1123718.4818899964,1251304.7282221545,1354193.496579999,1155209.1516999998
2020-12-25,1296520.6794200002,1354837.7954099998,1135041.9382699965,1249402.3166116308,1369992.2765799994,1170567.1916999999
