date,ewtf,ppo,sse,sac,td3,our,van
2020-11-02,1185539.66787,1015097.0518299968,1128558.3242441602,1170449.8867799991,1039971.0916999998,1142236.49878,1052656.838229999
2020-11-03,1206498.3328700005,1021164.5186499968,1152210.5614508733,1187803.816779999,1051413.1716999998,1160109.83878,1062299.293609999
2020-11-04,1215267.48087,1030046.2541399968,1166828.6972693964,1206636.156779999,1065757.7816999997,1181143.48878,1074845.9516299989
2020-11-05,1233234.21687,1030072.2007699969,1180492.8493104433,1222100.2267799992,1085792.2417,1200749.87878,1080447.769489999
2020-11-06,1229079.5618700003,1027047.6270999968,1179379.6533034437,1218409.456779999,1089022.8016999995,1191306.64878,1075143.2485199985
2020-11-09,1265498.97287,1032781.4330399968,1202208.3356794184,1244563.3967799991,1108190.8616999998,1223783.07878,1090077.0589899984
2020-11-10,1283361.3138700002,1015773.0532699968,1197205.1592402994,1217315.2467799988,1129975.2417,1198853.33878,1068315.4570999986
2020-11-11,1282995.8251200002,1016233.9869999968,1201282.2770676569,1215352.236779999,1134834.2517,1192202.26878,1063810.0284099984
2020-11-12,1275919.09212,1029974.7862999968,1196748.718528204,1238434.576779999,1143401.2317,1226261.7487800005,1083051.5665799985
2020-11-13,1258398.6002699998,1020952.4759299968,1171847.1937647057,1219511.436779999,1134159.2816999997,1216301.97878,1074190.7291299987
2020-11-16,1276450.12295,1016678.9698399968,1191737.2954385858,1222135.7067799987,1149338.0317,1212465.58878,1069626.9157099987
2020-11-17,1282844.1296900003,1011545.2032799968,1198653.578438847,1216415.3068199991,1152566.7916999997,1199698.57878,1063821.4819399987
2020-11-18,1303845.2538200002,1005591.123779997,1211695.135031799,1209915.7054999992,1167296.0417,1197745.7387800002,1059092.813669999
2020-11-19,1312056.6368300002,1018260.9783699968,1221175.355486632,1231507.3377999992,1174125.8316999995,1216588.5287800003,1071182.6838599988
2020-11-20,1308719.1819200004,1020746.4987799968,1217279.8094138463,1237100.7651899988,1178665.8516999998,1225190.92878,1076092.0607699987
2020-11-23,1317791.75753,1030166.4369599968,1238125.1262874403,1254585.208859999,1195392.4517,1230741.79878,1083434.9584399988
